Year,State,Total_SqMi
2013,NV,"110,572"
2013,NY,"54,555"
2013,OH,"44,826"
2013,OK,"69,899"
2013,OR,"98,379"
2013,PA,"46,054"
2013,RI,"1,545"
2013,SC,"32,020"
2013,SD,"77,116"
2013,TN,"42,144"
2013,TX,"268,596"
2013,UT,"84,897"
2013,VA,"42,775"
2013,VT,"9,616"
2013,WA,"71,298"
2013,WI,"65,496"
2013,WV,"24,230"
2013,WY,"97,813"
2014,AK,"665,384"
2014,AL,"52,420"
2014,AR,"53,179"
2014,AZ,"113,990"
2014,CA,"163,695"
2014,CO,"104,094"
2014,CT,"5,543"
2014,DE,"2,489"
2014,FL,"65,758"
2014,GA,"59,425"
2014,HI,"10,932"
2014,IA,"56,273"
2014,ID,"83,569"
2014,IL,"57,914"
2014,IN,"36,420"
2014,KS,"82,278"
2014,KY,"40,408"
2014,LA,"52,378"
2014,MA,"10,554"
2014,MD,"12,406"
2014,ME,"35,380"
2014,MI,"96,714"
2014,MN,"86,936"
2014,MO,"69,707"
2014,MS,"48,432"
2014,MT,"147,040"
2014,NC,"53,819"
2014,ND,"70,698"
2014,NE,"77,348"
2014,NH,"9,349"
2014,NJ,"8,723"
2014,NM,"121,590"
2014,NV,"110,572"
2014,NY,"54,555"
2014,OH,"44,826"
2014,OK,"69,899"
2014,OR,"98,379"
2014,PA,"46,054"
2014,RI,"1,545"
2014,SC,"32,020"
2014,SD,"77,116"
2014,TN,"42,144"
2014,TX,"268,596"
2014,UT,"84,897"
2014,VA,"42,775"
2014,VT,"9,616"
2014,WA,"71,298"
2014,WI,"65,496"
2014,WV,"24,230"
2014,WY,"97,813"
2015,AK,"665,384"
2015,AL,"52,420"
2015,AR,"53,179"
2015,AZ,"113,990"
2015,CA,"163,695"
2015,CO,"104,094"
2015,CT,"5,543"
2015,DE,"2,489"
2015,FL,"65,758"
2015,GA,"59,425"
2015,HI,"10,932"
2015,IA,"56,273"
2015,ID,"83,569"
2015,IL,"57,914"
2015,IN,"36,420"
2015,KS,"82,278"
2015,KY,"40,408"
2015,LA,"52,378"
2015,MA,"10,554"
2015,MD,"12,406"
2015,ME,"35,380"
2015,MI,"96,714"
2015,MN,"86,936"
2015,MO,"69,707"
2015,MS,"48,432"
2015,MT,"147,040"
2015,NC,"53,819"
2015,ND,"70,698"
2015,NE,"77,348"
2015,NH,"9,349"
2015,NJ,"8,723"
2015,NM,"121,590"
2015,NV,"110,572"
2015,NY,"54,555"
2015,OH,"44,826"
2015,OK,"69,899"
2015,OR,"98,379"
2015,PA,"46,054"
2015,RI,"1,545"
2015,SC,"32,020"
2015,SD,"77,116"
2015,TN,"42,144"
2015,TX,"268,596"
2015,UT,"84,897"
2015,VA,"42,775"
2015,VT,"9,616"
2015,WA,"71,298"
2015,WI,"65,496"
2015,WV,"24,230"
2015,WY,"97,813"
2016,AK,"665,384"
2016,AL,"52,420"
2016,AR,"53,179"
2016,AZ,"113,990"
2016,CA,"163,695"
2016,CO,"104,094"
2016,CT,"5,543"
2016,DE,"2,489"
2016,FL,"65,758"
2016,GA,"59,425"
2016,HI,"10,932"
2016,IA,"56,273"
2016,ID,"83,569"
2016,IL,"57,914"
