Year,State,Total_Sen_Votes,Dem_Sen_Votes,Rep_Sen_Votes
2008,VA,3643294.0,2369327.0,1228830.0
2008,VT,262419.0,216972.0,84924.0
2008,WA,2083734.0,1184659.0,832106.0
2008,WI,2138297.0,1439214.0,630299.0
2008,WV,702308.0,447560.0,254629.0
2008,WY,249619.0,66202.0,183063.0
2008,WY,250007.0,60631.0,189046.0
2009,AK,317723.0,151767.0,147814.0
2009,AL,2060191.0,752391.0,1305383.0
2009,AR,1011754.0,804678.0,458036.0
2009,AZ,1526782.0,664141.0,814398.0
2009,CA,8541476.0,5076289.0,2990822.0
2009,CO,2331621.0,1230994.0,990755.0
2009,CT,1134777.0,450844.0,109198.0
2009,DE,398134.0,257539.0,140595.0
2009,FL,4793534.0,2890548.0,1826127.0
2009,GA,3752485.0,1757393.0,1867097.0
2009,HI,342842.0,210330.0,126097.0
2009,IA,1502918.0,941665.0,560006.0
2009,ID,644780.0,219903.0,371744.0
2009,IL,5329884.0,3615844.0,1520621.0
2009,IN,1341111.0,1496976.0,1171553.0
2009,KS,1210690.0,441399.0,727121.0
2009,KY,1800821.0,847005.0,953816.0
2009,LA,1896574.0,988298.0,867177.0
2009,MA,3102995.0,1971974.0,926044.0
2009,MD,1781139.0,965477.0,787182.0
2009,ME,724430.0,279510.0,444300.0
2009,MI,4848620.0,3038386.0,1641070.0
2009,MN,2887646.0,1212629.0,1212317.0
2009,MO,2128459.0,1055255.0,1006941.0
2009,MS,1247026.0,480915.0,766111.0
2009,MT,477658.0,348289.0,129369.0
2009,NC,4271970.0,2249311.0,1887510.0
2009,ND,218152.0,150146.0,64417.0
2009,NE,792511.0,317456.0,455854.0
2009,NH,694787.0,358438.0,314403.0
2009,NJ,3482445.0,1951218.0,1461025.0
2009,NM,823650.0,505128.0,318522.0
2009,NV,582572.0,238796.0,322501.0
2009,NY,4700632.0,2698931.0,1212902.0
2009,OH,4019236.0,2257369.0,1761037.0
2009,OK,1346819.0,527736.0,763375.0
2009,OR,1767504.0,864392.0,805159.0
2009,PA,4081043.0,2392984.0,1684778.0
2009,RI,438812.0,320644.0,116174.0
2009,SC,1871431.0,790621.0,1076534.0
2009,SD,380673.0,237889.0,142784.0
2009,TN,2424585.0,767236.0,1579477.0
2009,TX,7912075.0,3389365.0,4337469.0
2009,UT,571252.0,177459.0,356238.0
2009,VA,3643294.0,2369327.0,1228830.0
2009,VT,262419.0,216972.0,84924.0
2009,WA,2083734.0,1184659.0,832106.0
2009,WI,2138297.0,1439214.0,630299.0
2009,WV,702308.0,447560.0,254629.0
2009,WY,250007.0,60631.0,189046.0
2010,AK,255503.0,60045.0,90839.0
2010,AL,1485499.0,515619.0,968181.0
2010,AR,779957.0,288156.0,451618.0
2010,AZ,1708484.0,592011.0,1005615.0
2010,CA,10000160.0,5218441.0,4217366.0
2010,CO,1772286.0,851590.0,822731.0
2010,CT,1153115.0,605204.0,498341.0
2010,DE,307402.0,174012.0,123053.0
2010,FL,5411106.0,1092936.0,2645743.0
2010,GA,2555258.0,996516.0,1489904.0
2010,HI,370583.0,277228.0,79939.0
2010,IA,1116063.0,371686.0,718215.0
2010,ID,449530.0,112057.0,319953.0
2010,IL,3704473.0,1719478.0,1778698.0
2010,IN,1744481.0,697775.0,952116.0
2010,KS,837692.0,220971.0,587175.0
2010,KY,1356096.0,600052.0,755706.0
2010,LA,1264994.0,476572.0,715415.0
2010,MA,3102995.0,1971974.0,926044.0
2010,MD,1833858.0,1140615.0,655666.0
2010,ME,724430.0,279510.0,444300.0
2010,MI,4848620.0,3038386.0,1641070.0
2010,MN,2887646.0,1212629.0,1212317.0
2010,MO,1943899.0,789736.0,1054160.0
2010,MS,1247026.0,480915.0,766111.0
2010,MT,477658.0,348289.0,129369.0
2010,NC,2660079.0,1145074.0,1458046.0
2010,ND,238534.0,52955.0,181689.0
2010,NE,792511.0,317456.0,455854.0
2010,NH,454710.0,167545.0,273218.0
2010,NJ,3482445.0,1951218.0,1461025.0
2010,NM,823650.0,505128.0,318522.0
2010,NV,721404.0,362785.0,321361.0
2010,NY,4757635.0,2837684.0,1338308.0
2010,NY,4763899.0,3047880.0,1239605.0
2010,OH,3815098.0,1503297.0,2168742.0
2010,OK,1017151.0,265814.0,718482.0
2010,OR,1442588.0,825507.0,566199.0
2010,PA,3977661.0,1948716.0,2028945.0
2010,RI,438812.0,320644.0,116174.0
2010,SC,1318794.0,364598.0,810771.0
2010,SD,227947.0,237889.0,227947.0
2010,TN,2424585.0,767236.0,1579477.0
2010,TX,7912075.0,3389365.0,4337469.0
2010,UT,585230.0,191732.0,360403.0
2010,VA,3643294.0,2369327.0,1228830.0
2010,VT,235178.0,151281.0,72699.0
2010,WA,2511094.0,1314930.0,1196164.0
2010,WI,2171331.0,1020958.0,1126133.0
2010,WV,529948.0,283358.0,230013.0
2010,WY,250007.0,60631.0,189046.0
2011,AK,255503.0,60045.0,90839.0
2011,AL,1485499.0,515619.0,968181.0
2011,AR,779957.0,288156.0,451618.0
2011,AZ,1708484.0,592011.0,1005615.0
2011,CA,10000160.0,5218441.0,4217366.0
2011,CO,1772286.0,851590.0,822731.0
2011,CT,1153115.0,605204.0,498341.0
2011,DE,307402.0,174012.0,123053.0
2011,FL,5411106.0,1092936.0,2645743.0
2011,GA,2555258.0,996516.0,1489904.0
2011,HI,370583.0,277228.0,79939.0
2011,IA,1116063.0,371686.0,718215.0
2011,ID,449530.0,112057.0,319953.0
2011,IL,3704473.0,1719478.0,1778698.0
2011,IN,1744481.0,697775.0,952116.0
2011,KS,837692.0,220971.0,587175.0
2011,KY,1356096.0,600052.0,755706.0
2011,LA,1264994.0,476572.0,715415.0
2011,MA,3102995.0,1971974.0,926044.0
2011,MD,1833858.0,1140615.0,655666.0
2011,ME,724430.0,279510.0,444300.0
2011,MI,4848620.0,3038386.0,1641070.0
2011,MN,2887646.0,1212629.0,1212317.0
2011,MO,1943899.0,789736.0,1054160.0
2011,MS,1247026.0,480915.0,766111.0
2011,MT,477658.0,348289.0,129369.0
2011,NC,2660079.0,1145074.0,1458046.0
2011,ND,238534.0,52955.0,181689.0
